"filename", "language", "Java", "Java Properties", "comment", "blank", "total"
"c:\Users\yhq\Desktop\oop2024project\src\main\java\dev\sjimo\oop2024project\repository\VerificationTokenRepository.java", "Java", 9, 0, 0, 7, 16
"c:\Users\yhq\Desktop\oop2024project\src\main\java\dev\sjimo\oop2024project\service\ChatService.java", "Java", 246, 0, 65, 32, 343
"c:\Users\yhq\Desktop\oop2024project\src\main\java\dev\sjimo\oop2024project\service\ContactService.java", "Java", 192, 0, 31, 23, 246
"c:\Users\yhq\Desktop\oop2024project\src\main\java\dev\sjimo\oop2024project\service\JwtService.java", "Java", 44, 0, 0, 8, 52
"c:\Users\yhq\Desktop\oop2024project\src\main\java\dev\sjimo\oop2024project\service\MailService.java", "Java", 18, 0, 0, 4, 22
"c:\Users\yhq\Desktop\oop2024project\src\main\java\dev\sjimo\oop2024project\service\UserDataService.java", "Java", 33, 0, 0, 7, 40
"c:\Users\yhq\Desktop\oop2024project\src\main\java\dev\sjimo\oop2024project\service\UserService.java", "Java", 80, 0, 0, 16, 96
"c:\Users\yhq\Desktop\oop2024project\src\main\java\dev\sjimo\oop2024project\service\VerificationService.java", "Java", 64, 0, 0, 13, 77
"c:\Users\yhq\Desktop\oop2024project\src\main\java\dev\sjimo\oop2024project\utils\ErrorCode.java", "Java", 45, 0, 0, 8, 53
"c:\Users\yhq\Desktop\oop2024project\src\main\java\dev\sjimo\oop2024project\utils\ResponseException.java", "Java", 12, 0, 0, 4, 16
"c:\Users\yhq\Desktop\oop2024project\src\main\resources\application.properties", "Java Properties", 0, 12, 0, 1, 13
"c:\Users\yhq\Desktop\oop2024project\src\test\java\dev\sjimo\oop2024project\Oop2024projectApplicationTests.java", "Java", 9, 0, 0, 5, 14
"Total", "-", 1883, 12, 159, 478, 2532
